#,Z,Born,rad/Å,SASA/Å²,H-bond
1,8,O,2.301,14.048,-0.002
2,6,C,2.732,1.588,-0.000
3,6,C,3.168,0.309,-0.000
4,8,O,2.836,8.938,-0.001
5,6,C,3.261,0.081,-0.000
6,8,O,2.697,1.260,-0.000
7,6,C,3.220,1.021,-0.000
8,6,C,3.490,0.745,-0.000
9,7,N,3.394,1.241,-0.000
10,6,C,3.389,4.299,-0.000
11,8,O,2.764,3.798,-0.001
12,7,N,3.304,1.386,-0.000
13,6,C,3.394,4.405,-0.000
14,7,N,2.556,3.946,-0.001
15,6,C,3.018,8.962,-0.000
16,6,C,3.109,6.615,-0.000
17,1,H,2.063,18.557,-0.025
18,1,H,2.061,18.258,-0.024
19,1,H,2.143,16.364,-0.022
20,1,H,2.211,9.230,-0.012
21,1,H,2.299,10.160,-0.014
22,1,H,2.349,3.641,-0.005
23,1,H,2.389,10.326,-0.014
24,1,H,2.446,2.403,-0.003
25,1,H,2.125,20.263,-0.027
26,1,H,2.068,18.574,-0.025
27,1,H,2.281,5.826,-0.008
28,1,H,2.037,9.953,-0.013
29,15,P,3.271,5.029,-0.001
30,8,O,2.235,14.706,-0.002
31,8,O,2.252,18.293,-0.003
32,8,O,2.740,1.215,-0.000
33,6,C,2.868,0.594,-0.000
34,6,C,3.218,0.385,-0.000
35,8,O,2.952,9.554,-0.001
36,6,C,3.266,0.381,-0.000
37,8,O,2.661,4.490,-0.001
38,6,C,3.340,0.319,-0.000
39,6,C,3.666,0.117,-0.000
40,7,N,3.986,0.271,-0.000
41,6,C,3.385,0.465,-0.000
42,7,N,2.973,6.559,-0.002
43,6,C,4.319,0.034,-0.000
44,6,C,3.746,0.035,-0.000
45,8,O,2.716,7.363,-0.001
46,7,N,3.766,0.000,-0.000
47,6,C,4.054,0.005,-0.000
48,7,N,2.794,0.741,-0.000
49,7,N,3.339,4.025,-0.001
50,6,C,4.525,1.405,-0.000
51,1,H,2.153,13.384,-0.018
52,1,H,2.122,12.582,-0.017
53,1,H,2.143,17.108,-0.023
54,1,H,2.196,11.198,-0.015
55,1,H,2.407,5.835,-0.008
56,1,H,2.402,2.282,-0.003
57,1,H,2.558,3.276,-0.004
58,1,H,2.407,2.926,-0.004
59,1,H,3.516,0.000,-0.000
60,1,H,2.593,4.398,-0.006
61,1,H,2.281,15.584,-0.021
62,15,P,3.220,6.759,-0.001
63,8,O,2.212,12.272,-0.002
64,8,O,2.199,23.876,-0.003
65,8,O,2.622,3.941,-0.001
66,6,C,2.890,0.349,-0.000
67,6,C,3.351,0.070,-0.000
68,8,O,3.243,0.396,-0.000
69,6,C,3.322,0.180,-0.000
70,8,O,2.697,3.197,-0.000
71,6,C,3.262,0.952,-0.000
72,6,C,3.816,0.002,-0.000
73,7,N,3.858,0.248,-0.000
74,6,C,3.818,0.043,-0.000
75,8,O,2.738,3.296,-0.000
76,7,N,3.568,0.002,-0.000
77,6,C,3.611,0.355,-0.000
78,8,O,2.654,6.780,-0.001
79,6,C,3.819,1.136,-0.000
80,6,C,2.776,2.307,-0.000
81,6,C,3.590,3.085,-0.000
82,1,H,2.258,8.200,-0.011
83,1,H,2.142,14.244,-0.019
84,1,H,2.294,13.516,-0.018
85,1,H,2.226,9.302,-0.012
86,1,H,2.295,11.516,-0.015
87,1,H,2.306,3.244,-0.004
88,1,H,2.509,3.013,-0.004
89,1,H,3.415,0.000,-0.000
90,1,H,2.108,20.708,-0.028
91,1,H,2.222,10.381,-0.014
92,1,H,2.214,8.361,-0.011
93,1,H,2.465,3.230,-0.004
94,15,P,3.247,5.418,-0.001
95,8,O,2.196,24.375,-0.003
96,8,O,2.272,8.971,-0.001
97,8,O,2.652,1.089,-0.000
98,6,C,2.861,0.559,-0.000
99,6,C,3.223,0.294,-0.000
100,8,O,2.945,5.698,-0.001
101,6,C,3.278,0.241,-0.000
102,8,O,2.613,6.353,-0.001
103,6,C,3.341,0.185,-0.000
104,6,C,3.621,0.233,-0.000
105,7,N,4.006,0.008,-0.000
106,6,C,3.352,1.057,-0.000
107,7,N,3.013,8.387,-0.003
108,6,C,4.864,0.002,-0.000
109,6,C,4.421,0.000,-0.000
110,7,N,2.857,0.366,-0.000
111,7,N,3.887,0.001,-0.000
112,6,C,3.624,0.109,-0.000
113,7,N,3.226,4.334,-0.001
114,6,C,4.734,0.060,-0.000
115,1,H,2.160,12.936,-0.017
116,1,H,2.124,14.380,-0.019
117,1,H,2.165,16.935,-0.023
118,1,H,2.267,7.857,-0.010
119,1,H,2.386,7.972,-0.011
120,1,H,2.481,0.579,-0.001
121,1,H,2.476,8.359,-0.011
122,1,H,2.312,8.600,-0.011
123,1,H,2.701,1.787,-0.002
124,1,H,2.337,13.724,-0.018
125,1,H,2.520,6.153,-0.008
126,15,P,3.219,6.393,-0.001
127,8,O,2.220,11.676,-0.002
128,8,O,2.201,23.687,-0.003
129,8,O,2.585,6.490,-0.001
130,6,C,2.849,0.474,-0.000
131,6,C,3.362,0.037,-0.000
132,8,O,3.172,0.837,-0.000
133,6,C,3.345,0.019,-0.000
134,8,O,2.656,4.519,-0.001
135,6,C,3.386,0.019,-0.000
136,6,C,3.754,0.042,-0.000
137,7,N,4.023,0.000,-0.000
138,6,C,3.856,0.044,-0.000
139,8,O,2.820,5.159,-0.001
140,7,N,3.839,0.000,0.000
141,6,C,4.003,0.000,-0.000
142,7,N,2.791,0.536,-0.000
143,6,C,3.409,0.385,-0.000
144,6,C,3.540,0.392,-0.000
145,1,H,2.207,11.118,-0.015
146,1,H,2.138,11.519,-0.015
147,1,H,2.430,10.504,-0.014
148,1,H,2.329,6.830,-0.009
149,1,H,2.513,2.442,-0.003
150,1,H,2.362,3.228,-0.004
151,1,H,2.392,11.469,-0.015
152,1,H,2.661,2.428,-0.003
153,1,H,2.282,13.009,-0.017
154,1,H,2.185,14.873,-0.020
155,1,H,2.400,6.942,-0.009
156,15,P,3.232,5.792,-0.001
157,8,O,2.192,24.714,-0.003
158,8,O,2.262,11.247,-0.002
159,8,O,2.633,1.457,-0.000
160,6,C,2.833,0.514,-0.000
161,6,C,3.157,0.241,-0.000
162,8,O,2.919,6.048,-0.001
163,6,C,3.064,0.694,-0.000
164,8,O,2.282,17.211,-0.002
165,6,C,2.984,1.662,-0.000
166,6,C,3.349,0.390,-0.000
167,7,N,3.504,1.564,-0.000
168,6,C,3.057,5.909,-0.000
169,7,N,2.736,14.325,-0.004
170,6,C,3.738,3.427,-0.000
171,6,C,3.335,4.144,-0.000
172,8,O,2.526,11.203,-0.002
173,7,N,3.339,2.023,-0.001
174,6,C,3.594,4.186,-0.000
175,7,N,2.733,3.294,-0.001
176,7,N,3.005,9.381,-0.003
177,6,C,3.895,3.773,-0.000
178,1,H,2.154,13.344,-0.018
179,1,H,2.109,14.168,-0.019
180,1,H,2.161,15.186,-0.020
181,1,H,2.134,14.341,-0.019
182,1,H,1.992,15.683,-0.021
183,1,H,2.197,11.029,-0.015
184,1,H,2.113,16.926,-0.023
185,1,H,2.302,12.157,-0.016
186,1,H,2.201,10.283,-0.014
187,1,H,3.150,0.109,-0.000
188,1,H,2.677,1.317,-0.002
189,1,H,2.248,16.923,-0.023
190,8,O,2.311,6.042,-0.001
191,6,C,2.737,0.804,-0.000
192,6,C,3.159,0.274,-0.000
193,8,O,2.826,9.044,-0.001
194,6,C,3.259,0.048,-0.000
195,8,O,2.698,1.255,-0.000
196,6,C,3.216,1.014,-0.000
197,6,C,3.486,0.681,-0.000
198,7,N,3.394,1.288,-0.000
199,6,C,3.391,4.268,-0.000
200,8,O,2.767,3.703,-0.001
201,7,N,3.310,1.343,-0.000
202,6,C,3.402,4.190,-0.000
203,7,N,2.558,4.023,-0.001
204,6,C,3.017,8.957,-0.000
205,6,C,3.102,6.545,-0.000
206,1,H,2.065,18.321,-0.024
207,1,H,2.074,17.161,-0.023
208,1,H,2.142,16.440,-0.022
209,1,H,2.212,8.527,-0.011
210,1,H,2.290,10.421,-0.014
211,1,H,2.352,3.572,-0.005
212,1,H,2.390,10.178,-0.014
213,1,H,2.455,2.562,-0.003
214,1,H,2.131,19.688,-0.026
215,1,H,2.067,18.505,-0.025
216,1,H,2.242,7.908,-0.011
217,1,H,1.928,22.819,-0.030
218,15,P,3.270,4.057,-0.000
219,8,O,2.235,12.073,-0.002
220,8,O,2.259,17.891,-0.002
221,8,O,2.720,1.266,-0.000
222,6,C,2.850,0.676,-0.000
223,6,C,3.214,0.415,-0.000
224,8,O,2.951,9.410,-0.001
225,6,C,3.261,0.375,-0.000
226,8,O,2.654,4.892,-0.001
227,6,C,3.338,0.310,-0.000
228,6,C,3.665,0.155,-0.000
229,7,N,3.985,0.244,-0.000
230,6,C,3.384,0.380,-0.000
231,7,N,2.973,6.525,-0.002
232,6,C,4.321,0.019,-0.000
233,6,C,3.749,0.020,-0.000
234,8,O,2.719,7.245,-0.001
235,7,N,3.763,0.000,-0.000
236,6,C,4.055,0.009,-0.000
237,7,N,2.794,0.749,-0.000
238,7,N,3.338,4.176,-0.001
239,6,C,4.525,1.258,-0.000
240,1,H,2.144,13.832,-0.018
241,1,H,2.102,15.319,-0.020
242,1,H,2.142,17.083,-0.023
243,1,H,2.194,11.224,-0.015
244,1,H,2.406,5.785,-0.008
245,1,H,2.401,2.312,-0.003
246,1,H,2.558,3.377,-0.005
247,1,H,2.406,2.936,-0.004
248,1,H,3.522,0.000,-0.000
249,1,H,2.594,4.391,-0.006
250,1,H,2.284,15.383,-0.021
251,15,P,3.220,8.834,-0.001
252,8,O,2.212,15.066,-0.002
253,8,O,2.195,24.085,-0.003
254,8,O,2.637,3.891,-0.001
255,6,C,2.905,0.325,-0.000
256,6,C,3.354,0.073,-0.000
257,8,O,3.245,0.401,-0.000
258,6,C,3.315,0.176,-0.000
259,8,O,2.698,3.157,-0.000
260,6,C,3.259,0.958,-0.000
261,6,C,3.815,0.005,-0.000
262,7,N,3.859,0.269,-0.000
263,6,C,3.822,0.023,-0.000
264,8,O,2.739,3.282,-0.000
265,7,N,3.568,0.000,-0.000
266,6,C,3.617,0.281,-0.000
267,8,O,2.658,6.658,-0.001
268,6,C,3.822,0.720,-0.000
269,6,C,2.776,2.314,-0.000
270,6,C,3.591,2.856,-0.000
271,1,H,2.263,8.166,-0.011
272,1,H,2.167,11.132,-0.015
273,1,H,2.296,13.498,-0.018
274,1,H,2.217,10.205,-0.014
275,1,H,2.294,11.486,-0.015
276,1,H,2.303,3.263,-0.004
277,1,H,2.509,2.893,-0.004
278,1,H,3.420,0.001,-0.000
279,1,H,2.213,8.418,-0.011
280,1,H,2.109,20.560,-0.027
281,1,H,2.222,10.387,-0.014
282,1,H,2.464,3.213,-0.004
283,15,P,3.247,6.717,-0.001
284,8,O,2.232,15.040,-0.002
285,8,O,2.226,21.413,-0.003
286,8,O,2.669,1.124,-0.000
287,6,C,2.883,0.519,-0.000
288,6,C,3.226,0.272,-0.000
289,8,O,2.946,5.618,-0.001
290,6,C,3.280,0.232,-0.000
291,8,O,2.612,6.492,-0.001
292,6,C,3.341,0.152,-0.000
293,6,C,3.622,0.266,-0.000
294,7,N,4.011,0.007,-0.000
295,6,C,3.349,1.029,-0.000
296,7,N,3.020,7.575,-0.002
297,6,C,4.876,0.004,-0.000
298,6,C,4.437,0.000,0.000
299,7,N,2.853,0.185,-0.000
300,7,N,3.896,0.000,-0.000
301,6,C,3.627,0.118,-0.000
302,7,N,3.227,4.217,-0.001
303,6,C,4.739,0.134,-0.000
304,1,H,2.168,12.845,-0.017
305,1,H,2.161,11.066,-0.015
306,1,H,2.166,16.926,-0.023
307,1,H,2.268,7.843,-0.010
308,1,H,2.385,8.001,-0.011
309,1,H,2.481,0.581,-0.001
310,1,H,2.477,8.334,-0.011
311,1,H,2.319,8.531,-0.011
312,1,H,2.722,1.655,-0.002
313,1,H,2.342,13.371,-0.018
314,1,H,2.521,6.136,-0.008
315,15,P,3.218,8.582,-0.001
316,8,O,2.220,15.040,-0.002
317,8,O,2.195,24.189,-0.003
318,8,O,2.598,6.515,-0.001
319,6,C,2.865,0.430,-0.000
320,6,C,3.358,0.058,-0.000
321,8,O,3.171,0.843,-0.000
322,6,C,3.321,0.017,-0.000
323,8,O,2.645,4.538,-0.001
324,6,C,3.379,0.021,-0.000
325,6,C,3.753,0.034,-0.000
326,7,N,4.022,0.000,-0.000
327,6,C,3.856,0.038,-0.000
328,8,O,2.821,5.149,-0.001
329,7,N,3.841,0.000,-0.000
330,6,C,4.004,0.000,-0.000
331,7,N,2.791,0.150,-0.000
332,6,C,3.408,0.317,-0.000
333,6,C,3.538,0.428,-0.000
334,1,H,2.225,10.052,-0.013
335,1,H,2.147,11.550,-0.015
336,1,H,2.429,10.471,-0.014
337,1,H,2.291,7.954,-0.011
338,1,H,2.506,2.574,-0.003
339,1,H,2.359,3.198,-0.004
340,1,H,2.391,11.553,-0.015
341,1,H,2.666,2.374,-0.003
342,1,H,2.264,14.212,-0.019
343,1,H,2.184,14.779,-0.020
344,1,H,2.399,6.836,-0.009
345,15,P,3.232,6.448,-0.001
346,8,O,2.232,14.884,-0.002
347,8,O,2.217,21.201,-0.003
348,8,O,2.651,1.511,-0.000
349,6,C,2.859,0.485,-0.000
350,6,C,3.159,0.223,-0.000
351,8,O,2.912,5.946,-0.001
352,6,C,3.067,0.395,-0.000
